place_id,name,type,lat,lng,rating,user_ratings_total,price_level,vicinity,city,collected_at
ChIJlzkSMXLEhkcROxFaT-JeKFk,BENU Farmacia Milano N. 4,pharmacy,45.43557450000001,9.183779900000001,3.2,94.0,,"Via Volvinio, 25, Milano",milan,2026-02-03T22:21:16.948422
ChIJp1smJnLEhkcRKwufQWHf7Ho,Azienda Farmacie Milanesi S.P.A.,pharmacy,45.4356452,9.1838728,1.0,1.0,,"Via Volvinio, 25, Milano",milan,2026-02-03T22:21:16.948454
ChIJG69GNwDFhkcRjj_zXksZjeo,Farmacia,pharmacy,45.43830790000001,9.1835085,,,,"Via Giorgio Briano, 11-1, Milano",milan,2026-02-03T22:21:16.948460
ChIJ01NxInPEhkcRRG_T85fFasg,Farmacia Balboni - Gruppo Farmacie Italiane,pharmacy,45.4384072,9.183639800000002,4.1,103.0,,"Via Giovanni Pezzotti, 61, Milano",milan,2026-02-03T22:21:16.948464
ChIJ5yoV5mrEhkcR3WQMTxX7tHg,La Sapienza,pharmacy,45.437088,9.195911999999998,4.6,142.0,,"Via Giacomo Antonini, 56, Milano",milan,2026-02-03T22:21:17.118035
ChIJAVZl0D_EhkcRoAL4kz0KBCA,Farmacia Vigentino,pharmacy,45.4399744,9.199760900000001,4.3,82.0,,"Via Giuseppe Ripamonti, 108, Milano",milan,2026-02-03T22:21:17.222743
ChIJ14U19zXEhkcRNx_hC6RaIwA,BENU Farmacia Milano N. 60,pharmacy,45.43700279999999,9.2151408,3.4,85.0,,"Via Marco D'Agrate, 8, Milano",milan,2026-02-03T22:21:17.396407
ChIJfSt6nTXEhkcRg-cPKpepfCs,Antica Farmacia Dell'Abbazia Di Chiaravalle,pharmacy,45.4375339,9.2193831,4.7,105.0,,"Via Comacchio, 4, Milano",milan,2026-02-03T22:21:18.514535
ChIJxbSP-srFhkcRELKcTHLo7GA,Lafarmacia. Santa Rita Milano,pharmacy,45.43807169999999,9.223720799999999,4.6,32.0,,"Piazzale Gabriele Rosa, 11, Milano",milan,2026-02-03T22:21:18.514587
ChIJ49YNyMvFhkcRMkhqFDEv0EU,BENU Farmacia Milano N. 34,pharmacy,45.4394034,9.226450000000002,3.6,44.0,,"Via Carlo Marochetti, 9, Milano",milan,2026-02-03T22:21:18.634812
ChIJfwStHsjFhkcRabfyYzcIHdY,Tamoil,pharmacy,45.4359754,9.231607499999999,3.8,201.0,,"Via Giovanni Battista Cassinis, 16, Milano",milan,2026-02-03T22:21:18.634857
ChIJp24ejsDFhkcRFOrGRMWGomQ,BENU Farmacia Milano N. 30,pharmacy,45.435704,9.240679,3.0,72.0,,"Via Francesco Pizzolpasso, 5, Milano",milan,2026-02-03T22:21:18.837024
ChIJRcvpmmXDhkcRWshNgXiJmyA,farmacia eredi ferri cesano boscone,pharmacy,45.4407181,9.097276599999999,3.7,3.0,,"Via Roma, 76, Cesano Boscone",milan,2026-02-03T22:21:20.627646
ChIJAV9IX0bChkcRnJsE7go0aHM,Farmacie Comunali Corsichesi Spa,pharmacy,45.4415454,9.1154846,4.6,13.0,,"Via Ferdinando Magellano, 5, Corsico",milan,2026-02-03T22:21:20.807748
ChIJMR1G30PChkcRrV3s22HJ7X0,Public Pharmacy Corsichesi,pharmacy,45.4408483,9.110367400000001,3.9,247.0,,"Via Sebastiano Caboto, 3, Corsico",milan,2026-02-03T22:21:20.807778
ChIJZ0DCYUHChkcRhV77QP2auAY,Farmacia Giorno e Notte,pharmacy,45.4408773,9.110348499999999,3.1,9.0,,"Via Sebastiano Caboto, 3, Corsico",milan,2026-02-03T22:21:20.807787
ChIJaRRsNTXChkcR3SITNotSi2s,Farmacia San Cristoforo,pharmacy,45.4444235,9.1285697,4.7,86.0,,"Piazza Tirana, 2, Milano",milan,2026-02-03T22:21:22.046387
ChIJ01yi5qDDhkcRHnT5_o0k_w4,FARMACIA SFORZA,pharmacy,45.4408413,9.1292258,4.9,8.0,,"Via Lodovico Il Moro, 163, Milano",milan,2026-02-03T22:21:22.046431
ChIJe6dxkbfDhkcRczj9EZL6mes,BENU Farmacia Milano N. 2,pharmacy,45.44144589999999,9.140478499999999,3.4,55.0,,"Via Privata Parenzo, 8a, Milano",milan,2026-02-03T22:21:22.159608
ChIJe9AgTZXDhkcRK1RcdLaotrM,BENU Farmacia Milano N. 53,pharmacy,45.44218,9.1554133,3.0,93.0,,"Via Ettore Ponti, 31, Milano",milan,2026-02-03T22:21:22.405383
ChIJ398ftYzDhkcRghr_Jom4nfU,Farmacia Rimini,pharmacy,45.4405923,9.168958000000002,3.4,7.0,,"Via Rimini, 29, Milano",milan,2026-02-03T22:21:22.596066
ChIJmYMyEa_DhkcRMl7ggPDURpw,Farmacia Moncucco,pharmacy,45.4405825,9.1689951,4.6,14.0,,"Via Rimini, 29, Milano",milan,2026-02-03T22:21:22.596116
